word	sentiment
Abitur	0
Abkanzelung	-1.0
Abkapselung	-0.7
Abknallen	-0.7
Ablehnung	-0.7
Ablenken	-1.0
Ablenkung	-1.0
Ablenkungsprogramm	-0.7
Abnützung	-1.0
Abneigung	-1.0
Abnutzung	-1.0
Abnutzungserscheinung	-1.0
Abrüstung	0.7
Abrüstungsgespräch	0.7
Abrüstungsverhandlung	0.7
Abrechnung	-1.0
Abreibung	-1.0
Abriss	-1.0
Abrundung	0.7
Absatz	0
Abschätzigkeit	-1.0
Abschürfung	-0.7
Abschaum	-1.0
Abscheißer	-1.0
Abscheu	-1.0
Abschiebung	-1.0
Abschiessen	-0.7
Abschlachten	-0.7
Abschlachtung	-0.7
Abschotten	-0.7
Abschottung	-0.7
Abschreckung	-0.7
Abschreckungsmassnahme	-0.7
Abschuss	-1.0
Abschweifung	-0.7
Abseits	-0.7
Absichtlichkeit	-0.7
Absolution	0.7
Absolvent	0
Absonderung	-0.7
Abspannung	-0.7
Abstechen	-1.0
Abstieg	-1.0
Abstumpfung	-1.0
Absturzursache	-0.7
Abszess	-1.0
Abteilung	0
Abtragung	-1.0
Abwärtstrend	-1.0
Abwahl	-0.3
Abwasserentsorgung	-1.0
Abwechslung	0.0
Abwehrkräfte	0.7
Abwiegelung	0.7
Abzuschiebenden	-1.0
Achsellaus	-1.0
Acht_geben	-1.0
Acht_haben	-1.0
Adaptivität	0.7
Aderlass	0.7
Adolf	-1.0
Affäre	-1.0
Affe	-1.0
Affekthandlung	-0.7
Affekttat	-0.7
Affenjunge	-1.0
Affenland	-1.0
Affinität	1.0
Affront	-1.0
Africhinese	-1.0
Agententätigkeit	-0.7
Aggression	-1.0
Aggressivität	-1.0
AgitProp-Sekretärin	-1.0
Agitation	-0.7
Agitprop	-0.7
Agonie	-0.7
Agoraphobie	-1.0
Agrarreform	1.0
Ahndung	-1.0
Ahnung	1.0
Ahnungslose	-1.0
Ahnungslosigkeit	-1.0
Aids	-1.0
Akademikerin	1.0
Akne	-0.7
Akte	0
Aktenvernichtung	-1.0
Aktie	0
Aktiva	0.7
Aktualisierung	0.7
Akuratheit	1.0
Albtraum	-0.7
Alimente	-1.0
Alkoholabhängigkeit	-1.0
Alkoholeinfluss	-1.0
Alkoholgenuss	-1.0
Alkoholiker	-1.0
Alkoholismus	-1.0
Alkoholkonsum	-1.0
Alkoholmissbrauch	-1.0
Alkoholrausch	-1.0
Alkoholsucht	-1.0
Alleinherrscher	-1.0
Alleinherrscherin	-1.0
Alleinsein	-0.7
Allergie	-1.0
Allgemeingültigkeit	0.7
Allianz	0.7
Altbausanierung	1.0
Altenbetreuung	-1.0
Altersarmut	-1.0
Altersschwäche	-0.7
Altlastensanierung	1.0
Altmaier-Etwas	-1.0
Altpartei	-0.3
Altparteien	-1.0
Altpateien	-1.0
Altpolitiker	-1.0
Altruismus	1.0
Alzheimer	-1.0
Amnesie	-1.0
Amoklauf	-0.7
Amtsgericht	0
Amtshilfe	0.7
Amtsmissbrauch	-0.7
Anämie	-1.0
Anal	-1.0
Analphabet	-1.0
Analphabeten	-1.0
Anbiederung	1.0
Anbieter	0
Androhung	-1.0
Anfälligkeit	-0.7
Anfall	-0.7
Anforderung	0
Angabe	0
Angeberei	-1.0
Angehörig	0
Angelegenheit	0
Angeregtheit	0.7
Angeschlagenheit	-0.7
Angriff	-1.0
Angriffskrieg	-1.0
Angriffslust	-1.0
Angst	-1.0
Angst_erregend	-1.0
Angst_machen	-1.0
Angstneurose	-1.0
Anhänger	0
Anhebung	0.7
Anlage	0
Anlagebetrug	-1.0
Anmaßung	-0.7
Anmut	1.0
Annahme	0
Annehmlichkeit	0.7
Anordnung	0
Anpassungsbedarf	-1.0
Anpassungsfähigkeit	0.7
Anpassungsvermögen	0.7
Anraten	1.0
Anreichern	0.7
Anreicherung	0.7
Anruf	0
Ansatz	0
Anschein	0
Anschlag	-0.7
Anspruch	0.3
Anteil	0
Anteilnahme	1.0
Antichrist	-1.0
Antideutsche	-1.0
Antifant	-1.0
Antifantenbrut	-1.0
Antifaschisten	-1.0
Antijüdischer	-0.7
Antipathie	-1.0
Antisemitismus	-1.0
Antisemitist	-1.0
Antrag	0
Antragsteller	0
Antrieb	0.7
Antrittsbesuch	0.7
Anwalt	0
Anwendung	0
Anzeige	0
Apathie	-1.0
Apfel	0
Apologie	0.7
Appeal	1.0
Approbation	1.0
April	0
Ararchisten	-1.0
Arbeiteraufstand	-0.7
Arbeitgeber	0
Arbeitgeberin	0
Arbeitnehmer	0
Arbeitsbedingung	0
Arbeitserlaubnis	1.0
Arbeitsfreude	0.7
Arbeitsgericht	0
Arbeitskampf	-0.7
Arbeitslager	-1.0
Arbeitslosenanteil	-0.7
Arbeitslosenrate	-0.7
Arbeitslosenzahl	-0.7
Arbeitsmarkt	0
Arbeitsniederlegung	-0.7
Arbeitsplatzabbau	-0.7
Arbeitsplatzsicherung	0.7
Arbeitsplatzverlust	-1.0
Arbeitssicherheit	0.7
Arbeitsstelle	0
Arbeitssucht	-1.0
Arbeitstauglichkeit	1.0
Arbeitsunfähigkeit	-0.7
Arbeitsuntauglichkeit	-1.0
Arbeitsverweigerung	-0.7
Arbeitswille	0.7
Arg	-1.0
Arglist	-1.0
Arglistigkeit	-1.0
Argumentfreie	-1.0
Argwohn	-1.0
Armbruch	-1.0
Armleuchter	-1.0
Armseligkeit	-0.7
Armverletzung	-0.7
Arretierung	-0.7
Arroganz	-1.0
Arsch	-1.0
Arschkriecher	-1.0
Arschkriecherischen	-1.0
Arschlöcher	-1.0
Arschlöcherwie	-1.0
Arschlöscher	-1.0
Arschlecker	-1.0
Arschloch	-1.0
Arterienverkalkung	-1.0
Arteriosklerose	-1.0
Arthritis	-1.0
Artikel	0
Artilleriefeuer	-1.0
Artrose	-1.0
Arzt	0
Asbestsanierung	0.7
Asthma	-1.0
Astronom	0
Asylant	-1.0
Asylanten	-1.0
Asylanten-Sauereien	-1.0
Asylanten-Verbrecher	-1.0
Asylantenfeindlichkeit	-1.0
Asylantenflut	-1.0
Asylantenfreundlichkeit	1.0
Asylantenterror	-1.0
Asylbetrug	-1.0
Asylchaos	-1.0
Asylschmarotzer	-1.0
Atembeschwerde	-1.0
Atemnot	-1.0
Atemschutzmasken	-1.0
Atomexplosion	-1.0
Atomhandel	-0.7
Atomisierung	-1.0
Atomkrieg	-1.0
Atomschmuggel	-0.7
Attacke	-0.7
Attentat	-0.7
Attraktion	0.7
Attraktivität	1.0
Aufarbeitung	0.7
Aufbaustudium	1.0
Aufbruch	-0.7
Aufbruchstimmung	1.0
Aufdringlichkeit	-1.0
Aufforderung	0
Auffrischung	0.7
Aufheiterung	1.0
Aufklärung	0.7
Aufklärungsbemühung	0.7
Aufklärungskampagne	0.7
Aufmüpfigkeit	-1.0
Aufmunterung	1.0
Aufrüstung	-1.0
Aufrechterhaltung	0.7
Aufrichtigkeit	1.0
Aufruhr	-0.7
Aufsässigkeit	-1.0
Aufschrei	-1.0
Aufschwung	0.7
Aufsehen_erregend	0.7
Aufstand	-0.7
Aufstieg	0.7
Auftraggeber	0
Auftragnehmer	0
Auftrieb	0.7
Aufwärtsentwicklung	0.7
Aufwärtstrend	0.7
Aufwartung	0.7
Aufwendung	0
Aufwerten	0.7
Aufwertung	0.7
Aufwiegelung	-0.7
Auge	0
Augendienerei	1.0
Augenerkrankung	-1.0
Augenkrankheit	-1.0
Augenschmaus	0.7
Augenweide	0.7
Augenwischerei	-1.0
Aura	1.0
Ausbeutung	-1.0
Ausbildungsförderung	0.7
Ausbrechen	-1.0
Ausbreitung	-1.0
Ausbruch	-1.0
Ausdauer	0.7
Ausführlichkeit	0.7
Ausführlichsein	0.7
Ausführung	0
Ausfall	-1.0
Ausfuhrverbot	-1.0
Ausgabe	0
Ausgebranntheit	-1.0
Ausgeglichenheit	0.7
Ausgelassenheit	-1.0
Aushebelung	-1.0
Ausländer raus	-1.0
Ausländer	-1.0
Ausländerfeindlichkeit	-1.0
Ausländerfreundlichkeit	1.0
Ausländerhass	-1.0
Ausländerkriminalität	-1.0
Auslöschung	-1.0
Auslegung	0
Ausmisten	-1.0
Ausnahmezustand	-0.7
Ausnutzen	-1.0
Ausnutzung	-1.0
Auspeitscher	-1.0
Ausrotten	-1.0
Ausrottung	-1.0
Aussage	0
Aussatz	-1.0
Ausschlag	-0.7
Ausschmückung	0.7
Ausschnitt	0
Ausschreitung	-0.7
Ausschuss	0
Aussergewöhnlichkeit	1.0
Aussichtslosigkeit	-1.0
Aussitzen	-0.7
Ausspähen	-1.0
Ausstand	-0.7
Ausstrahlung	1.0
Ausstrahlungskraft	0.7
Ausweglosigkeit	-1.0
Ausweisung	-1.0
Autarkie	0.7
Authentizität	0.7
Autismus	-1.0
Autonomie	0.7
Avance	0.7
Aversion	-1.0
Bänderriss	-0.7
Bärendienst	0.7
Börsenhoch	0.7
Bösartigkeit	-1.0
Bösewicht	-1.0
Böswilligkeit	-1.0
Bücherverbrennung	-1.0
Bühne	0
Bürger	0
Bürgerfeindlichkeit	-1.0
Bürgerfreundlichkeit	1.0
Bürgerkrieg	-1.0
Bürgermeister	0
Bürgernähe	1.0
Bürgersinn	1.0
Bürstenkopf	-1.0
BERUFSPOLITIKER-MÜLL	-1.0
BILDdung	-0.7
BILDdungsbürger	-1.0
BLUTVERSCHMIERTEN	-1.0
BND-Affäre	-1.0
BRD-BILD-Dung	-1.0
BSE	-0.7
Badekur	0.7
Bahn-Streik	-1.0
Bahnhofstreter	-1.0
Bahnreform	1.0
Bahnstreik	-1.0
Balkankrieg	-1.0
Ballerei	-0.7
Bammel	-1.0
BanIslam	-1.0
Bananenfresser	-1.0
Bandenkrieg	-1.0
Bandscheibenvorfall	-1.0
Bange_machen	-1.0
Banküberfall	-0.7
Barbar	-1.0
Barbarei	-1.0
Barmherzigkeit	1.0
Basta	-0.3
Bastard	-1.0
Bauchfellentzündung	-1.0
Bauchfett	-1.0
Bauchschmerz	-1.0
Bauchschuss	-1.0
Bauchspeck	-1.0
Bauchweh	-1.0
Bayern-Horsti	-1.0
Bedürfnis	0.7
Bedürftigkeit	-1.0
Bedarf	0.7
Bedauern	-1.0
Bedenklichkeit	-0.7
Bedeutungsverlust	-1.0
Bedienungsfeindlichkeit	-0.7
Bedienungsfreundlichkeit	0.7
Bedingung	0
Bedrohlichkeit	-1.0
Bedrohung	-1.0
Beduinen-Feiglinge	-1.0
Beeinträchtigung	-0.7
Beförderung	0.7
Befürchtung	-1.0
Befangenheit	-1.0
Befehl	0
Beflissenheit	1.0
Befreiung	0.7
Befreiungskampf	-0.7
Befreiungskrieg	-1.0
Befremden	-0.7
Befremdung	-0.7
Befriedigung	1.0
Befriedung	0.7
Begünstigung	-0.7
Begabung	1.0
Begeisterung	1.0
Begeisterungsfähigkeit	1.0
Begierde	-1.0
Begründung	0
Begriff	0
Behörde	0
Behagen	1.0
Behaglichkeit	0.7
Beharrlichkeit	0.7
Behinderung	-1.0
Beibehalten	0.7
Beibehaltung	0.7
Beifallsruf	0.7
Beigeschmack	-1.0
Beihilfe	-0.7
Beilegung	0.7
Beileid	1.0
Bein	0
Beinbruch	-1.0
Beinschmerz	-1.0
Beinschuss	-1.0
Beinverletzung	-0.7
Beispiel	0
Beitrag	0
Beitragsanhebung	0.7
Beitragserhöhung	0.7
Bekümmernis	-1.0
Bekenntnis	0.7
Beklemmung	-1.0
Beklommenheit	-1.0
Belagerung	-0.7
Belastbarkeit	0.7
Beleg	0
Belegschaft	0
Belehrung	-1.0
Beleidigung	-1.0
Beliebigkeit	1.0
Beliebtheit	1.0
Benefizkonzert	0.7
Benutzer	0
Benutzerfeindlichkeit	-0.7
Benutzerfreundlichkeit	0.7
Benutzungsfeindlichkeit	-0.7
Benutzungsfreundlichkeit	0.7
Beobachtungsgabe	1.0
Bequemlichkeit	0.7
Berührungsangst	-1.0
Berechtigung	0
Bereicherung	0.7
Berg	0
Bergarbeiterstreik	-0.7
Bergung	1.0
Bericht	0
Beruf	0
Berufsausbildung	0
Berufsbildung	1.0
Berufserkrankung	-1.0
Berufsfreiheit	0.7
Berufskrankheit	-1.0
Berufsunfähigkeit	-0.7
Beruhigung	0.7
Besänftigung	0.7
Beschädigung	-0.7
Beschäftigungsabbau	-0.7
Beschäftigungssicherung	0.7
Beschäftigungstherapie	0.7
Beschämung	-1.0
Beschaffungskriminalität	-0.7
Beschaulichkeit	1.0
Beschiessung	-1.0
Beschiss	-1.0
Beschluss	0
Beschuss	-1.0
Beschwerde	-0.7
Beschwichtigung	0.7
Beseitigung	-0.7
Besessenheit	-1.0
Besetzung	-0.7
Besondere	1.0
Besonderheit	1.0
Besorgnis	-1.0
Bessermenschen	-1.0
Besserung	0.7
Beständigkeit	1.0
Bestürzung	-0.7
Bestandsoptimierung	0.7
Bestandssicherung	0.7
Bestechlichkeit	-1.0
Bestechung	-1.0
Besteller	0
Bestform	0.7
Bestimmung	0
Bestrafung	-1.0
Besucher	0
Beteiligt	0
Betrügerei	-1.0
Betrag	0
Betreuung	-1.0
Betrieb	0
Betriebsamkeit	0.7
Betriebserlaubnis	1.0
Betriebsgenehmigung	1.0
Betriebsrat	0
Betriebsspionage	-0.7
Betriebsvereinbarung	0
Betroffenheit	-0.7
Betrug	-0.7
Betrug	-1.0
Betrugsfall	-0.7
Bett	0
Betulichkeit	0.7
Beugehaft	-1.0
Beule	-0.7
Beunruhigung	-1.0
Beute	-1.0
Beuteland	-1.0
Bevölkerung	0
Bevormundung	-0.7
Bevormundungen	-1.0
Bewährung	-1.0
Bewährungsstrafe	-1.0
Bewahrung	0.7
Bewegung	0.7
Bewegungsfreiheit	0.7
Bewegungsfreiraum	0.7
Bewegungsspielraum	0.7
Bewegungstherapie	0.7
Beweiskraft	0.7
Beweismittel	0
Beweisnot	-1.0
Beweissicherung	0.7
Bewerbung	0
Bewilligung	0.7
Bewusstlosigkeit	-1.0
Bewusstseinsstörung	-1.0
Beziehungslosigkeit	-0.7
Bezogenheit	0.7
Bibliothek	0
Bienenstich	-0.7
Bilanzfälschung	-0.7
Bilanzverlust	-1.0
Bildausschnitt	-1.0
Bildersturm	-1.0
Bildungsreform	1.0
Bindegewebsgeschwulst	-1.0
Biodeutscher	-1.0
Bioterror	-0.7
Bioterrorismus	-0.7
Biss	1.0
Bissigkeit	-1.0
Bisswunde	-0.7
Bitterkeit	-1.0
Blähungen	-0.7
Blödheit	-1.0
Blödmänner	-1.0
Blödmann	-1.0
Blödsinn	-1.0
Black-out	-1.0
Blackout	-1.0
Blagen	-1.0
Blamage	-1.0
Blase	-0.3
Blasenentzündung	-1.0
Blasenstein	-0.7
Blasphemie	-0.7
Blattern	-1.0
Bleiben	0.7
Blendung	-1.0
Blendwerk	-0.7
Blessur	-0.7
Blickfang	0.7
Blinddarmentzündung	-1.0
Blindheit	-1.0
Blitzbirnen	-1.0
Blitzkrieg	-1.0
Blockparteien	-1.0
Blossstellung	-1.0
Bluff	-1.0
Blume	0
Blumenpracht	0.7
Blut	-1.0
Blutarmut	-1.0
Blutbad	-1.0
Bluthochdruck	-1.0
Blutkrebs	-1.0
Blutmerkel	-1.0
Blutrache	-1.0
Blutrot	-1.0
Bluttat	-0.7
Blutung	-0.7
Blutvergiessen	-1.0
Blutvergiftung	-1.0
Blutverlust	-0.7
Bock	-1.0
Bock	0
Bockigkeit	-1.0
Boden	0
Bodenreform	1.0
Bodensanierung	0.7
Bodenständigkeit	0.7
Bogen	0
Bohne	0
Bolschewik	-1.0
Bombardement	-1.0
Bombardierung	-1.0
Bombenangriff	-1.0
Bombenanschlag	-0.7
Bombenattentat	-1.0
Bombendrohung	-1.0
Bombenkrieg	-1.0
Bombenstimmung	1.0
Bonze	-1.0
Boot	0
Borniertheit	-1.0
Boshaftigkeit	-1.0
Bosheit	-1.0
Boxhorn	-1.0
Boykott	-0.7
Brüderlichkeit	1.0
Brachialgewalt	-1.0
Branche	0
Brand	-0.3
Brandanschlag	-0.7
Brandrodung	-1.0
Brandschatzung	-0.7
Brandstiftung	-0.7
Brandursache	-0.7
Brauchbarkeit	0.7
Bravo	0.7
Bravoruf	0.7
Breitmaulfrosch	-1.0
Breitseite	-1.0
Bremsenstich	-0.7
Brief	0
Brillanz	1.0
Brille	0
Bringschuld	-0.7
Bronchitis	-1.0
Broschüre	0
Brot	0
Bruch	-0.7
Bruderkrieg	-1.0
Brunnen	0
Brustkrebs	-1.0
Brutalität	-1.0
Buch	0
Bude	-1.0
Bulimie	-1.0
Bulle	-0.7
Bullshit	-1.0
Bumsen	-1.0
Bumshure	-1.0
Bumsknecht	-1.0
Bundes-Pastor	-1.0
Bundeshofnarr	-1.0
Bundesparteitag	0.0
Burkaträgerinen	-1.0
Burnout	-1.0
Burnout-Syndrom	-1.0
Busch-Afrikaner	-1.0
Bussgeld	-1.0
Butter	0
Chancengleichheit	0.7
Chaos	-1.0
Chaoten	-1.0
Chaotentruppe	-1.0
Charakter	0.7
Charakterlosigkeit	-1.0
Charakterstärke	1.0
Charisma	1.0
Charme	0.7
Cheater	-1.0
Chemie	0
Chemotherapie	0.7
Cholera	-1.0
Claustrophobie	-1.0
Clinch	-0.7
Clonebaby	-1.0
Clown	-1.0
Coup	-0.7
Courage	1.0
Crash	-1.0
Cyberkriminalität	-1.0
Cyberschlampee	-1.0
Cyberspack	-1.0
Dämmung	-0.7
Dämonisierung	-0.7
Düngung	0.7
Dünnhäutigkeit	-0.7
Dürftigkeit	-0.7
Düsternis	-1.0
DDR	-1.0
DDR-Tante	-1.0
DUSSELIGE	-1.0
Dackel	-1.0
Damenbarthaare	-1.0
Dampfnudel	-1.0
Dank	1.0
Dank_sagen	0.7
Dankbarkeit	1.0
Danke	1.0
Dankempfindung	1.0
Dankeschön	0.7
Dankeswort	0.7
Dankgefühl	1.0
Darlehen	0
Darmkrebs	-1.0
Darmpilz	-0.7
Darmverschluss	-1.0
Daseinsberechtigung	0.7
Datensicherung	0.7
Dauerhaftnörgler	-1.0
Dauerkonflikt	-0.7
Dauerkrise	-1.0
Dauerstreit	-0.7
Dauerwellenträger	-1.0
Davonjagen	-1.0
Debakel	-0.7
Deckel	0
Defensive	0.7
Defizit	-1.0
Deformation	-1.0
Deformierung	-1.0
Degradierung	-1.0
Dehydration	-1.0
Dekor	0.7
Dekoration	0.7
Dekubitus	-1.0
Delikt	-0.7
Delirium	-1.0
Demagogie	-0.7
Demenz	-1.0
Demokratiefeindlichkeit	-1.0
Demokratie	1.0
Demonstrierverbot	-1.0
Demontage	-1.0
Denkzettel	-1.0
Denunziantenerfahrung	-1.0
Denunziantentum	-1.0
Deportation	-0.7
Deppen	-1.0
Depperten	-1.0
Depression	-1.0
Depressivität	-1.0
Deprimiertheit	-1.0
Dermatitis	-1.0
Desaster	-1.0
Deserteuren	-1.0
Desertieren	-0.7
Desertion	-0.7
Designgeschmack	1.0
Desillusionierung	-1.0
Desinteresse	-1.0
Desorganisation	-1.0
Despektierlichkeit	-1.0
Despotie	-1.0
Destabilisieren	-0.7
Destabilisierung	-0.7
Destruktion	-1.0
Detonation	-1.0
Deutschfeindlichkeit	-1.0
Deutschlandhassern	-1.0
Deutschtum	-1.0
Diätenerhöhung	0.7
Diättherapie	0.7
Diabetes	-1.0
Diabetes_mellitus	-1.0
Diamantene_Hochzeit	0.7
Diamanthochzeit	0.7
Dickbauch	-1.0
Dickfelligkeit	-0.7
Dickkopf	-1.0
Diebesgut	-1.0
Diebstahl	-1.0
Diensttauglichkeit	1.0
Dienstunfähigkeit	-0.7
Dienstuntauglichkeit	-1.0
Dieselskandal	-1.0
Differenziertheit	0.7
Diktator	-1.0
Diktatur	-1.0
Diktaturgewinnler	-1.0
Dilettantentum	-1.0
Dilettantismus	-1.0
Diphterie	-1.0
Diskretion	0.7
Distanzlosigkeit	-1.0
Disziplinlosigkeit	-1.0
Dividendenerhöhung	0.7
Dokument	0
Dokumentarfilm	0
Dokumentation	0
Dolchstoss	-0.7
Donnerwetter	-1.0
Doof	-1.0
Doofie	-1.0
Doofnase	-1.0
Doofnudel	-1.0
Doofnuss	-1.0
Doping	-1.0
Doppelmoraler	-1.0
Doppelmord	-0.7
Doppelspiel	-1.0
Doppelzünigkeit	-1.0
Dorf	0
Dorfnutte	-1.0
Dorfschlampe	-1.0
Dorftrottel	-1.0
Drachenlord	-1.0
Dracula	-1.0
Dreck	-1.0
Dreckhaufen	-1.0
Dreckig	-1.0
Drecks	-1.0
Drecksarbeit	-1.0
Drecksbande	-1.0
Dreckseumel	-1.0
Dreckslöcher	-1.0
Dreckspack	-1.0
Dreckssau	-1.0
Drecksschwein	-1.0
Dreckstück	-1.0
Dreckstücke	-1.0
Drecksvolk	-1.0
Dreistigkeit	-1.0
Dresche	-0.7
Dritten	0
Droge	-1.0
Drogenabhängigkeit	-1.0
Drogenbesitz	-1.0
Drogeneinfluss	-1.0
Drogeneinnahme	-1.0
Drogenentziehungskur	0.7
Drogenentzug	0.7
Drogengenuss	-1.0
Drogenhandel	-0.7
Drogenkonsum	-1.0
Drogenkriminalität	-0.7
Drogenlieferung	-0.7
Drogenmissbrauch	-1.0
Drogenproblem	-1.0
Drogenrausch	-1.0
Drogenschmuggel	-0.7
Drogensucht	-1.0
Drohung	-1.0
Druckkopfschmerz	-1.0
Druckkopfweh	-1.0
Dschihad	-1.0
Dschungelcamp	-0.3
Duckmäuser	-0.7
Duckmäusern	-1.0
Duckmäusertum	-1.0
Duell	-0.7
Dumm	-1.0
Dumm-Deutschen	-1.0
Dumm-deutsche	-1.0
DummBürgern	-1.0
Dummbürger	-1.0
Dummchen	-1.0
Dummerchen	-1.0
Dummheit	-1.0
Dummköpfen	-1.0
Dummkopf	-1.0
Dummys	-1.0
Dumpfbacke	-1.0
Dumpfheit	-1.0
Dunkelheit	0
Dunkelziffer	-0.7
Durchblutungsstörung	-1.0
Durcheinander	-1.0
Durchfall	-1.0
Durchhänger	-1.0
Durchhaltevermögen	0.7
Durchsetzungsfähigkeit	1.0
Durchsetzungskraft	0.7
Durchsetzungsvermögen	1.0
Durchsichtigkeit	0.7
Durchtriebenheit	-1.0
E-Mail	0
ELENDSFIGUR	-1.0
EROBERER	-1.0
ESELFICKER	-1.0
EU-Finanzverbrecher	-1.0
Ebenmässigkeit	0.7
Echtheit	1.0
Edelmütigkeit	1.0
Edelmut	1.0
Effekt	0
Effektivität	0.7
Effizienzverbesserung	0.7
Egoismus	-1.0
Egozentrik	-1.0
Ehekrach	-1.0
Eheschliessung	0.7
Ehestreit	-1.0
Ehrenmord	-1.0
Ehrenrettung	0.7
Ehrfurcht	1.0
Ehrgefühl	1.0
Ehrgeiz	0.7
Ehrlichkeit	1.0
Ehrlosigkeit	-1.0
Eierlosen	-1.0
Eierstockentzündung	-1.0
Eifer	1.0
Eifersüchtelei	-1.0
Eifersucht	-1.0
Eifersuchtsszene	-1.0
Eigenbrödelei	-0.7
Eigenbrötelei	-0.7
Eigenlob	1.0
Eigenregie	0.7
Eigenständigkeit	0.7
Eigentum	0
Eigentumsdelikt	-0.7
Eignung	1.0
Einbringung	-0.7
Einbruch	-0.7
Einerlei	-1.0
Einfühlungsvermögen	0.7
Einfall	-0.7
Einfuhrverbot	-0.7
Einigungsstelle	0
Einkauf	0
Einkaufszentrum	0
Einklang	0.7
Einkommen	0.7
Einkommenserhöhung	0.7
Einleitung	0
Einmaligkeit	0.7
Einmarsch	-0.7
Einnahme	-0.7
Einpeitscher	-1.0
Einrichtung	0
Einsamkeit	-1.0
Einsatztauglichkeit	0.7
Einsatzuntauglichkeit	-0.7
Einschlag	-1.0
Einseitigkeit	-0.7
Einstellung	0
Einstieg	0
Eintönigkeit	-1.0
Eintrag	0
Eintreten	0.7
Eintritt	0.7
Einwanderer	-0.3
Einzelhaft	-1.0
Einzeller	-1.0
Einzeltherapie	0.7
Einzigartigkeit	0.7
Eisenhochzeit	0.7
Eiserne_Hochzeit	0.7
Eiterbeule	-1.0
Eitergeschwür	-1.0
